name,price,km_driven,fuel_type,transmission,location,url
2021 Hyundai Creta EX Diesel BSVI,₹8.25 Lakh,"90,000 kms",Diesel,Manual,Korba,https://www.cardekho.com/used-car-details/used-Hyundai-creta-ex-diesel-bsvi-cars-Korba_d01326fe-d57a-4769-a2c6-c1233f9e6e2c.htm
2014 Mahindra Bolero SLX 2WD BSIII,₹4.50 Lakh,"40,000 kms",Diesel,Manual,Renukoot,https://www.cardekho.com/used-car-details/used-Mahindra-bolero-slx-2wd-bsiii-cars-Renukoot_3dca6fe3-193c-46e8-b062-ce0edf257416.htm
2021 Maruti Suzuki Vitara Brezza ZXI Plus,₹6.50 Lakh,"23,000 kms",Petrol,Manual,Janjgir-Champa,https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-zxi-plus-cars-Janjgir-Champa_07cdc19d-af6a-46b3-bbbc-d6c6156a75b1.htm
2010 Chevrolet Spark 1.0,"₹80,000","67,000 kms",Petrol,Manual,Waidhan,https://www.cardekho.com/used-car-details/used-Chevrolet-spark-10-cars-Waidhan_f5961b26-67b5-4dc6-a05d-f8d460a096c3.htm
2015 Maruti Suzuki Swift Dzire VXI,₹3.50 Lakh,"85,000 kms",Petrol,Manual,Raigarh,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-vxi-cars-Raigarh_f706613d-4ec8-4d10-8b7a-4d0e9ebb2780.htm
2018 Maruti Suzuki Swift AMT VXI,₹4.50 Lakh,"58,000 kms",Petrol,Automatic,Janjgir-Champa,https://www.cardekho.com/used-car-details/used-Maruti-swift-amt-vxi-cars-Janjgir-Champa_dccb4677-166c-4e0d-9d3e-118f73dfd45c.htm
2018 Mercedes-Benz GLS 350d 4MATIC,₹55 Lakh,"70,000 kms",Diesel,Automatic,"Sundargarh, Sundergarh",https://www.cardekho.com/used-car-details/used-Mercedes-benz-gls-350d-4matic-cars-Sundergarh_55bbd984-0fcc-4465-958f-83ce7075d41f.htm
2016 Hyundai EON Magna Plus,₹2.60 Lakh,"90,000 kms",Petrol,Manual,Kotma,https://www.cardekho.com/used-car-details/used-Hyundai-eon-magna-plus-cars-Kotma_497ea0da-2789-462b-b5ab-285c7ece7e3c.htm
2019 Maruti Suzuki Celerio X ZXI Option BSIV,₹4 Lakh,"51,000 kms",Petrol,Manual,Raigarh,https://www.cardekho.com/used-car-details/used-Maruti-celerio-x-zxi-option-bsiv-cars-Raigarh_6f44d7b5-3b4e-46fc-976c-435d489701c8.htm
2022 Maruti Suzuki Swift VXI BSVI,₹6.10 Lakh,"26,000 kms",Petrol,Manual,Raigarh,https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-bsvi-cars-Raigarh_3a698c3e-eeab-490d-8044-9febf755f164.htm
2018 Maruti Suzuki Ignis 1.2 Delta BSIV,₹3.25 Lakh,"78,000 kms",Petrol,Manual,"Banari, Janjgir-Champa",https://www.cardekho.com/used-car-details/used-Maruti-ignis-12-delta-bsiv-cars-Janjgir-Champa_a6d08dc0-f28f-4d76-8031-3032c9ba7467.htm
2018 Maruti Suzuki Baleno 1.2 Delta,₹3.95 Lakh,"1,30,000 kms",Petrol,Manual,Raigarh,https://www.cardekho.com/used-car-details/used-Maruti-baleno-12-delta-cars-Raigarh_5d7ca1b8-dc4f-42de-b465-ac858513d97d.htm
2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹3.60 Lakh,"43,000 kms",Petrol,Manual,Janjgir-Champa,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-12-kappa-sportz-bsiv-cars-Janjgir-Champa_e22f7714-262a-4927-aacb-e94108c3df73.htm
2021 Mahindra Scorpio S5,₹9.50 Lakh,"1,50,000 kms",Diesel,Manual,"Bansi, Raigarh",https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-s5-cars-Raigarh_b879ddfe-59e7-4d78-bde3-3338592c7f7b.htm
2022 MG Astor Sharp BSVI,₹10 Lakh,"40,000 kms",Petrol,Manual,"Janjgir, Janjgir-Champa",https://www.cardekho.com/used-car-details/used-Mg-astor-sharp-bsvi-cars-Janjgir-Champa_c1c6358e-baac-43ab-9a08-73bd8aa078e2.htm
2023 Mahindra XUV300 W4 BSVI,₹7 Lakh,"22,000 kms",Petrol,Manual,Waidhan,https://www.cardekho.com/used-car-details/used-Mahindra-xuv300-w4-bsvi-cars-Waidhan_a6ecb47b-dddd-46a6-99cf-5a75cb45352f.htm
2013 Maruti Suzuki Wagon R VXI BS IV,₹1.80 Lakh,"81,000 kms",Petrol,Manual,Korba,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Korba_6cf948cc-00cb-42bc-9f80-0d7d0444afa6.htm
2014 Maruti Suzuki Swift Dzire ZDI,₹2 Lakh,"1,30,000 kms",Diesel,Manual,Sundergarh,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-zdi-cars-Sundergarh_8c0082b7-999c-4270-8727-b481c80b5a10.htm
2013 Hyundai i10 Magna 1.2 iTech SE,₹2 Lakh,"84,000 kms",Petrol,Manual,Korba,https://www.cardekho.com/used-car-details/used-Hyundai-i10-magna-12-itech-se-cars-Korba_7005c2d7-cc31-41ae-9a69-c1bcfe9ca18e.htm
2019 Kia Seltos GTX Plus DCT,₹9.50 Lakh,"71,000 kms",Petrol,Automatic,Raigarh,https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-dct-cars-Raigarh_a53abb0e-ff91-4f7c-b08c-8b1f324235d6.htm
2013 Mahindra XUV500 W4,₹5.50 Lakh,"1,68,000 kms",Diesel,Manual,Sonbhadra,https://www.cardekho.com/used-car-details/used-Mahindra-xuv500-w4-cars-Sonbhadra_0b910e39-a723-4a51-a511-5b46d5c63d42.htm
2013 Mahindra XUV500 W4,₹5.50 Lakh,"1,68,000 kms",Diesel,Manual,Sonbhadra,https://www.cardekho.com/used-car-details/used-Mahindra-xuv500-w4-cars-Sonbhadra_122a26b7-638a-452f-8841-4ec12348256d.htm
2017 Mahindra Scorpio S10 AT 2WD,₹8.50 Lakh,"1,00,000 kms",Diesel,Automatic,"Pali, Korba",https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-s10-at-2wd-cars-Korba_c7e5e8b3-540f-41f6-b358-cc51f1a70dab.htm
